gen,best_fit,median_fit,lap_med,avg_reset,avg_crash,avg_over,avg_cte,avg_off,sigma,elapsed_s
0,36.96,44.47,,0.4,0.92,0.235,0.596,0.037,0.08,3732
1,42.46,47.77,,0.2,1.17,0.351,0.584,0.038,0.08,7465
2,36.33,50.65,,0.6,1.06,0.292,0.621,0.035,0.08,11197
3,46.16,51.32,,0.7,1.25,0.414,0.666,0.041,0.08,14929
4,35.52,51.96,,0.5,1.39,0.582,0.739,0.048,0.08,3732
5,35.04,48.81,,0.5,0.71,0.457,0.623,0.043,0.08,7464
6,36.74,58.08,,1.1,1.12,0.397,0.622,0.04,0.08,3733
7,36.13,48.89,,0.3,0.89,0.207,0.507,0.03,0.08,7466
8,37.19,53.47,,0.8,1.21,0.49,0.637,0.042,0.08,11199
9,36.8,47.07,,0.1,0.99,0.278,0.571,0.031,0.08,14931
10,40.42,47.11,,0.5,1.35,0.469,0.653,0.052,0.08,18664
11,36.86,50.0,,0.3,1.16,0.267,0.492,0.033,0.08,22398
12,35.8,44.7,,0.1,0.82,0.279,0.487,0.031,0.08,26131
13,35.63,41.57,,0.2,0.65,0.137,0.445,0.029,0.08,29864
14,34.36,39.23,,0.2,0.83,0.25,0.486,0.028,0.08,33597
15,38.05,50.1,,0.4,0.63,0.332,0.557,0.025,0.08,37330
16,37.09,53.1,32.79,0.6,0.75,0.198,0.395,0.021,0.08,3732
17,37.85,48.17,32.44,0.3,0.83,1.643,0.514,0.028,0.08,7465
18,38.79,52.46,33.04,0.6,0.9,0.484,0.622,0.041,0.08,11197
19,34.36,51.06,32.76,1.0,0.77,0.279,0.478,0.031,0.08,14929
20,34.34,43.28,32.63,0.1,0.36,1.19,0.467,0.028,0.08,18662
21,38.43,45.51,32.32,0.3,0.92,0.244,0.61,0.029,0.08,22394
22,34.46,44.6,32.55,0.5,0.55,0.274,0.431,0.022,0.08,26126
23,35.67,42.15,33.19,0.2,0.55,0.162,0.386,0.023,0.08,29859
24,36.6,39.71,32.9,0.3,0.39,0.163,0.334,0.025,0.08,33591
25,39.1,57.62,32.96,0.3,0.58,0.146,0.78,0.023,0.08,37323
26,36.52,51.65,32.49,0.9,1.08,0.43,0.542,0.035,0.08,41056
27,36.42,42.85,32.48,0.2,0.82,0.371,0.516,0.035,0.08,44788
28,34.87,39.55,33.03,0.4,0.63,0.275,0.473,0.028,0.08,48520
29,34.95,43.38,32.55,0.4,1.05,0.304,0.479,0.032,0.08,52253
30,37.85,49.27,32.73,0.2,0.62,0.231,0.338,0.021,0.08,3732
31,35.92,45.86,32.68,0.7,0.77,0.328,0.443,0.031,0.08,7465
32,35.31,43.47,33.22,0.3,0.7,0.299,0.417,0.028,0.08,11197
33,34.74,52.62,34.37,0.3,0.29,0.098,0.573,0.012,0.08,14929
34,36.58,43.24,32.3,0.5,0.63,0.28,0.537,0.025,0.08,18661
35,38.53,46.7,33.14,0.3,0.68,0.224,0.501,0.034,0.08,22394
36,35.4,40.64,32.28,0.1,0.78,0.267,0.5,0.035,0.08,26126
37,35.97,40.38,32.5,0.1,0.48,0.289,0.381,0.025,0.08,29858
38,35.49,43.06,32.23,0.3,0.67,0.279,0.429,0.029,0.08,33590
39,35.52,40.59,32.23,0.0,0.39,0.182,0.651,0.022,0.08,37323
40,35.99,52.53,32.47,0.3,0.92,0.475,0.591,0.046,0.08,41055
41,36.22,44.68,33.08,0.3,0.84,0.36,0.507,0.027,0.08,44787
42,36.17,50.57,32.8,0.6,0.81,0.364,0.497,0.029,0.08,48521
43,35.63,43.1,32.47,0.5,0.62,0.274,0.417,0.026,0.08,52253
44,35.68,45.9,32.24,0.4,0.66,0.27,0.434,0.03,0.08,55986
